"","r2","name"
"278",0.203851688684251,"FUBP3"
"279",0.200917567602155,"FUBP1"
"280",0.557353097454299,"SCHIP1"
"281",0.403974302555922,"CTBP1-AS2"
"282",0.491817244696577,"MARCO"
"283",0.386030831573084,"SAP30"
"284",0.508780893646098,"NBL1"
"285",0.107003564637578,"DRC7"
"286",0.387916486020791,"C1orf53"
"287",0.3647903074693,"C1orf52"
"288",0.220863328244399,"C1orf50"
"289",0.540042431059551,"C1orf56"
"290",0.6287116452301,"MARC1"
"291",0.540293319656437,"MARC2"
"292",0.443891018342922,"SMPD4"
"293",0.337872575952849,"SMPD1"
"294",0.590502230949291,"SMPD3"
"295",0.49786983077446,"SMPD2"
"296",0.638470791591009,"TTC28"
"297",0.701930407900298,"TTC24"
"298",0.380147537097901,"TTC25"
"299",0.375865009279882,"TTC26"
"300",0.24890023694209,"TTC27"
"301",0.51522670549831,"PATL2"
"302",0.697107153645835,"TTC22"
"303",0.470060642648337,"PATL1"
"304",0.56547107183907,"NPY2R"
"305",0.3642292449706,"ENO3"
"306",0.381843785861792,"LOC728613"
"307",0.672047019085129,"CFD"
"308",0.551406197302174,"OBSCN"
"309",0.435998163860263,"SRRD"
"310",0.366148367109819,"MCL1"
"311",0.635608059902959,"SORBS1"
"312",0.515181323312627,"SORBS3"
"313",0.649128362829166,"SORBS2"
"314",0.663219107866901,"ODC1"
"315",0.694045053016251,"EOMES"
"316",0.336453339133547,"FKBP14"
"317",0.34871445247333,"FKBP15"
"318",0.402003814901593,"UBE2J1"
"319",0.531554833366553,"UBE2J2"
"320",0.43733308130388,"FKBP11"
"321",0.393988498742011,"FBXO10"
"322",0.375140355029523,"FBXO11"
"323",0.6037172845261,"FBXO16"
"324",0.525633292586263,"TACO1"
"325",0.54575067226343,"FBXO15"
"326",0.433239603136603,"PLA2G6"
"327",0.446269439147966,"PLA2G7"
"328",0.483665086294469,"PLA2G5"
"329",0.615051589005112,"PLA2G3"
"330",0.467302932649582,"GDPGP1"
"331",0.574748375671336,"CCDC77"
"332",0.487003187738012,"CCDC71"
"333",0.58836673017672,"CCDC78"
"334",0.567369266417153,"HIST3H2BB"
"335",0.374850606993239,"GHITM"
"336",0.547324349126988,"OSGIN2"
"337",0.362255097067394,"OSGIN1"
"338",0.455111580168923,"LGALS9C"
"339",0.205243084003716,"UNC50"
"340",0.177224844129969,"NKAIN4"
"341",0.291362669333658,"NKAIN2"
"342",0.494730884443663,"EMP3"
"343",0.561509801203493,"MAP1A"
"344",0.462119186692787,"MAP1B"
"345",0.657656106446181,"IGSF9B"
"346",0.44788553791991,"UNC5B"
"347",0.266820312102954,"UNC5C"
"348",0.578214081993363,"VGF"
"349",0.629430368083652,"UNC5A"
"350",0.454913127375292,"MAP1S"
"351",0.350238558690479,"CCP110"
"352",0.145234183523078,"ANKRD19P"
"353",0.406251923079634,"RPL18A"
"354",0.279869191098562,"CEND1"
"355",0.211273480563594,"CLEC18B"
"356",0.629244699353005,"BORCS7"
"357",0.482770963930021,"BORCS6"
"358",0.352478345264297,"BORCS5"
"359",0.709168810231482,"SDR42E1"
"360",0.3580718110164,"PPCDC"
"361",0.374485853200234,"EPB41L3"
"362",0.575807630162663,"EPB41L2"
"363",0.606504444631637,"ACSS3"
"364",0.567933267876868,"ACSS2"
"365",0.51090760907715,"ACSS1"
"366",0.319460190128719,"KIDINS220"
"367",0.321374014737993,"PUDP"
"368",0.583475374223899,"RUNDC3A"
"369",0.41011407288841,"DFNA5"
"370",0.328083161840314,"MAGEH1"
"371",0.422942044921156,"WNT3"
"372",0.300325117082265,"WNT2"
"373",0.497705826430866,"WNT1"
"374",0.17655137516249,"LRRN4"
"375",0.653679165006232,"LRRN2"
"376",0.631044697762871,"LRRN1"
"377",0.489283306866642,"WNT4"
"378",0.385700639447993,"HOXA11-AS"
"379",0.499971634577873,"RNF170"
"380",0.57360450656649,"PCNA"
"381",0.543352280075285,"ZBTB7A"
"382",0.647429849045596,"ZBTB7C"
"383",0.545440816549806,"ZBTB7B"
"384",0.266007247995778,"PCNP"
"385",0.253413044499779,"PCNT"
"386",0.530509092082377,"PACRG"
