"","x"
"584","SERPINB7"
"585","FAM76B"
"586","FAM76A"
"587","EXD3"
"588","ELP6"
"589","ELP5"
"590","ELP4"
"591","ELP3"
"592","ELP2"
"593","SPRYD3"
"594","SPRYD4"
"595","KLHDC9"
"596","RAC2"
"597","KLHDC4"
"598","KLHDC2"
"599","KLHDC3"
"600","KLHDC1"
"601","ASXL1"
"602","ASXL3"
"603","HDDC3"
"604","ZNF252P-AS1"
"605","DONSON"
"606","SPATA17"
"607","SPATA18"
"608","CEP170P1"
"609","ZNF214"
"610","RINL"
"611","HFE"
"612","GPR146"
"613","GPR143"
"614","KNL1"
"615","SLC7A7"
"616","CITED2"
"617","CITED1"
"618","TRAK1"
"619","CITED4"
"620","DAGLA"
"621","DAGLB"
"622","HLA-G"
"623","HLA-F"
"624","PHF21B"
"625","CSNK1A1L"
"626","HIRA"
"627","RIN1"
"628","RIN3"
"629","RIN2"
"630","WWOX"
"631","RIPK1"
"632","RIPK3"
"633","RIPK2"
"634","SRCIN1"
"635","WWC2-AS2"
"636","CRABP1"
"637","CRABP2"
"638","ZNF419"
"639","ZNF418"
"640","ZNF417"
"641","ZNF416"
"642","ZNF414"
"643","ZNF410"
"644","GLIPR2"
"645","SSSCA1"
"646","LINC01547"
"647","RASA2"
"648","RASA3"
"649","ACTN2"
"650","ACTN1"
"651","ACTN4"
"652","EZR"
"653","NREP"
"654","DKFZP586I1420"
"655","ABLIM1"
"656","ABLIM3"
"657","RAB6A"
"658","RAB6B"
"659","GDI2"
"660","CALM3"
"661","SPG21"
"662","TFAP4"
"663","SPDL1"
"664","CALM1"
"665","SPTA1"
"666","CRYZL1"
"667","SERF2"
"668","NAT9"
"669","NAT8"
"670","NAT2"
"671","NAT1"
"672","NAT6"
"673","ADGRL4"
"674","ADGRL2"
"675","ADGRL3"
"676","ADGRL1"
"677","FAIM2"
"678","COX5A"
"679","COX5B"
"680","TMEM258"
"681","TMEM256"
"682","TMEM254"
"683","TMEM253"
"684","TMEM251"
"685","TMEM250"
"686","SIPA1L3"
"687","SIPA1L2"
"688","SLC35F5"
"689","SLC35F6"
"690","SLC35F1"
"691","SLC35F3"
"692","SLC35F2"
"693","SUPV3L1"
"694","TSPAN18"
"695","MPC2"
"696","MPC1"
"697","TSPAN11"
"698","TSPAN12"
"699","TSPAN13"
"700","TSPAN14"
"701","TSPAN15"
"702","TSPAN17"
"703","MAB21L3"
"704","EAF1"
"705","EAF2"
"706","FOXF1"
"707","FOXF2"
"708","TMUB1"
"709","TMUB2"
"710","KIAA1644"
"711","SYNCRIP"
"712","MMAA"
"713","ALG8"
"714","ALG9"
"715","ALG2"
"716","ALG3"
"717","ALG6"
"718","ALG5"
"719","WIF1"
"720","PDXP"
"721","RNGTT"
"722","KIAA1683"
"723","PARP8"
"724","HAR1A"
"725","RAB8B"
"726","HGS"
"727","RAB8A"
"728","RTN3"
"729","RDM1"
"730","INMT"
"731","ADAP1"
"732","ADAP2"
"733","KLHL10"
"734","KLHL11"
"735","KLHL12"
"736","KLHL13"
"737","KLHL14"
"738","KLHL15"
"739","KLHL17"
"740","KLHL18"
"741","IER5"
"742","GABPB2"
"743","IGIP"
"744","SLU7"
"745","IER2"
"746","ZNF200"
"747","LOC100130987"
"748","SLN"
"749","SLK"
"750","SLA"
"751","MEAF6"
"752","AZIN1"
"753","AZIN2"
"754","ZNF655"
"755","ZNF654"
"756","TCTEX1D1"
"757","ZNF653"
"758","TCTEX1D4"
"759","N4BP2L1"
"760","RAPGEF6"
"761","N4BP2L2"
"762","RAPGEF3"
"763","ZNF384"
"764","POC1A"
"765","SNRPD3"
"766","SNRPD2"
"767","SNRPD1"
"768","PKP3"
"769","PKP2"
"770","IFT43"
"771","DVL2"
"772","IFT46"
"773","NOP14-AS1"
"774","GLDN"
"775","GLDC"
"776","QPCT"
"777","PC"
"778","DHRS11"
"779","DHRS12"
"780","DHRS13"
"781","MAP1LC3B2"
"782","LGMN"
"783","CAPS2"
"784","PHF5A"
"785","EHMT1"
"786","ADIPOR2"
"787","ADIPOR1"
"788","STOX1"
"789","MARK1"
"790","MARK2"
"791","STOX2"
"792","IGBP1"
"793","TPD52L2"
"794","EFCAB11"
"795","EFCAB10"
"796","EFCAB13"
"797","EFCAB14"
"798","CAPSL"
"799","ACTR3B"
"800","WDR13"
"801","WDR12"
"802","WDR11"
"803","WDR17"
"804","PPAN-P2RY11"
"805","WDR19"
"806","WDR18"
"807","USP9X"
"808","ACAD11"
"809","CGGBP1"
"810","MYADML2"
"811","CMPK1"
"812","LDLRAD1"
"813","LDLRAD2"
"814","LDLRAD3"
"815","HPCA"
"816","APEH"
"817","DEFB132"
"818","NKX6-1"
"819","DPY19L2P4"
"820","KCTD12"
"821","CRCP"
"822","KCTD10"
"823","DPY19L2P1"
"824","DPY19L2P2"
"825","KCTD19"
"826","H6PD"
"827","SLC25A35"
"828","SLC25A34"
"829","SLC25A37"
"830","SLC25A36"
"831","SLC25A33"
"832","GPBAR1"
"833","SLC25A39"
"834","SLC25A38"
"835","TUBA1C"
"836","TUBA1B"
"837","TUBA1A"
"838","IGSF11"
"839","FAM102B"
"840","FAM102A"
"841","RIMKLA"
"842","PGBD3"
"843","PCID2"
"844","POMT1"
"845","POMT2"
"846","AGPS"
"847","HOXA13"
"848","HOXA11"
"849","TMEM86A"
"850","TMEM86B"
"851","LGALS12"
"852","SSBP4"
"853","PBLD"
"854","PGPEP1"
"855","SSRP1"
